Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Walter Clayton,22,UTA,PG,8,0,136,12.1,.567,.488,.171,4.0,11.7,7.9,31.2,1.8,0.0,20.0,16.6,0.1,0.1,0.2,.076,-2.2,-0.1,-2.3,0.0,
Adem Bona,22,PHI,C,8,3,135,8.1,.470,.063,.750,9.8,11.9,10.8,2.7,1.4,8.8,24.8,8.6,-0.1,0.1,0.1,.029,-5.0,0.7,-4.3,-0.1,
Larry Nance Jr.,33,CLE,PF,8,1,135,5.3,.389,.444,.067,6.5,19.6,12.9,12.2,1.4,0.7,9.7,15.8,-0.2,0.2,0.0,.001,-7.5,-0.4,-7.8,-0.2,
Dru Smith,28,MIA,SG,8,0,135,14.4,.566,.500,.000,4.1,5.3,4.7,27.2,4.4,1.4,19.1,14.4,0.1,0.2,0.4,.127,-0.7,3.8,3.1,0.2,
Steven Adams,32,HOU,C,6,2,135,20.2,.718,.000,.667,26.8,20.9,23.6,9.5,2.2,2.9,22.8,10.8,0.4,0.2,0.7,.234,2.3,0.2,2.6,0.2,
Quinten Post,25,GSW,PF,9,5,132,10.8,.538,.718,.000,5.2,24.6,14.9,8.6,1.4,4.8,15.2,14.9,-0.1,0.2,0.2,.059,-2.2,1.1,-1.1,0.0,
Egor Demin,19,BRK,PG,7,0,132,8.3,.490,.861,.111,3.1,15.6,8.9,18.8,2.6,1.4,22.6,15.3,-0.1,0.0,-0.1,-0.032,-3.7,-0.6,-4.3,-0.1,
Al Horford,39,GSW,C,6,0,132,3.3,.365,.649,.000,5.2,18.4,11.8,8.1,1.4,2.1,19.6,14.9,-0.3,0.2,-0.2,-0.063,-7.3,-0.8,-8.1,-0.2,
Taylor Hendricks,22,UTA,PF,8,3,131,9.7,.480,.412,.235,12.4,17.0,14.7,3.3,0.7,1.6,11.8,13.3,0.0,0.1,0.1,.038,-2.6,-2.6,-5.2,-0.1,
Ayo Dosunmu,26,CHI,SG,5,0,131,19.6,.702,.404,.250,2.7,9.3,6.2,17.8,0.4,0.0,4.9,19.3,0.5,0.1,0.6,.208,3.6,-0.6,3.0,0.2,
Gradey Dick,22,TOR,SG,8,0,130,13.6,.597,.581,.558,3.5,12.9,8.2,2.0,1.1,0.0,1.8,17.6,0.2,0.1,0.3,.116,-0.2,-2.2,-2.5,0.0,
Sam Merrill,29,CLE,SG,5,4,130,18.1,.816,.870,.239,2.5,4.4,3.5,9.5,1.1,0.7,10.6,18.1,0.4,0.1,0.5,.197,4.4,-0.4,4.0,0.2,
Day'Ron Sharpe,24,BRK,C,8,0,129,16.5,.650,.226,.548,16.0,21.6,18.6,15.0,3.0,3.5,30.6,17.8,0.0,0.1,0.1,.044,-2.3,0.1,-2.2,0.0,
Jordan Clarkson,33,NYK,SG,8,0,128,11.7,.556,.525,.186,3.1,5.6,4.3,11.6,0.4,1.7,11.1,23.1,0.1,0.1,0.1,.056,-0.7,-2.3,-3.1,0.0,
